VCD info: dumpfile alu.vcd opened for output.
tiempo=880 A=0101 B=1000 c_in=0 L=0 OP=00 R=0101, Z=0, C=0, S=0. ---- OK
tiempo=890 A=0101 B=1001 c_in=0 L=0 OP=00 R=0101, Z=0, C=0, S=0. ---- OK
tiempo=900 A=0101 B=1010 c_in=0 L=0 OP=00 R=0101, Z=0, C=0, S=0. ---- OK
tiempo=910 A=0101 B=1011 c_in=0 L=0 OP=00 R=0101, Z=0, C=0, S=0. ---- OK
tiempo=920 A=0101 B=1100 c_in=0 L=0 OP=00 R=0101, Z=0, C=0, S=0. ---- OK
tiempo=930 A=0101 B=1101 c_in=0 L=0 OP=00 R=0101, Z=0, C=0, S=0. ---- OK
tiempo=940 A=0101 B=1110 c_in=0 L=0 OP=00 R=0101, Z=0, C=0, S=0. ---- OK
tiempo=950 A=0101 B=1111 c_in=0 L=0 OP=00 R=0101, Z=0, C=0, S=0. ---- OK
tiempo=960 A=0110 B=0000 c_in=0 L=0 OP=00 R=0110, Z=0, C=0, S=0. ---- OK
tiempo=970 A=0110 B=0001 c_in=0 L=0 OP=00 R=0110, Z=0, C=0, S=0. ---- OK
tiempo=980 A=0110 B=0010 c_in=0 L=0 OP=00 R=0110, Z=0, C=0, S=0. ---- OK
tiempo=990 A=0110 B=0011 c_in=0 L=0 OP=00 R=0110, Z=0, C=0, S=0. ---- OK
tiempo=1000 A=0110 B=0100 c_in=0 L=0 OP=00 R=0110, Z=0, C=0, S=0. ---- OK
tiempo=1010 A=0110 B=0101 c_in=0 L=0 OP=00 R=0110, Z=0, C=0, S=0. ---- OK
tiempo=1020 A=0110 B=0110 c_in=0 L=0 OP=00 R=0110, Z=0, C=0, S=0. ---- OK
tiempo=1030 A=0110 B=0111 c_in=0 L=0 OP=00 R=0110, Z=0, C=0, S=0. ---- OK
tiempo=1040 A=0110 B=1000 c_in=0 L=0 OP=00 R=0110, Z=0, C=0, S=0. ---- OK
tiempo=1050 A=0110 B=1001 c_in=0 L=0 OP=00 R=0110, Z=0, C=0, S=0. ---- OK
tiempo=1060 A=0110 B=1010 c_in=0 L=0 OP=00 R=0110, Z=0, C=0, S=0. ---- OK
tiempo=1070 A=0110 B=1011 c_in=0 L=0 OP=00 R=0110, Z=0, C=0, S=0. ---- OK
tiempo=1080 A=0110 B=1100 c_in=0 L=0 OP=00 R=0110, Z=0, C=0, S=0. ---- OK
tiempo=1090 A=0110 B=1101 c_in=0 L=0 OP=00 R=0110, Z=0, C=0, S=0. ---- OK
tiempo=1100 A=0110 B=1110 c_in=0 L=0 OP=00 R=0110, Z=0, C=0, S=0. ---- OK
